recno,Name,f_Name,RAJ2000,DEJ2000,Dist,Lbol,OName,SimbadName
1,"G010.3208-00.1570B", ,272.2561666666666,-20.08555555555555,3.5,41600,"",""
2,"G012.0260-00.0317 ", ,273.00787499999996,-18.532166666666665,11.1,24600,"IRAS 18090-1832","IRAS 18090-1832"
3,"G012.9090-00.2607 ", ,273.6648333333333,-17.867305555555554,2.4,21700,"W33A","W33A"
4,"G017.9789+00.2335A", ,275.70475,-13.167083333333332,14.4,31300,"",""
5,"G020.7617-00.0638B", ,277.30045833333327,-10.843388888888887,11.8,20800,"",""
6,"G023.3891+00.1851 ", ,278.3096666666666,-8.399305555555554,4.5,41900,"",""
7,"G027.1852-00.0812A", ,280.3049166666666,-5.150277777777777,13.0,94300,"IRAS 18385-0512","IRAS 18385-0512"
8,"G028.8621+00.0657 ", ,280.9427083333333,-3.5914722222222215,7.4,146200,"IRAS 18411-0338","IRAS 18411-0338"
9,"G030.1981-00.1691 ", ,281.7627916666666,-2.5100277777777773,7.3,33200,"",""
10,"G030.9727+00.5620 ", ,281.46537499999994,-1.4869444444444442,12.6,22900,"",""
11,"G032.9957+00.0415A", ,282.85187499999995,0.07613888888888888,9.2,22500,"IRAS 18488+0000","IRAS 18488+0000"
12,"G034.0500-00.2977 ", ,283.6345833333333,0.8591388888888888,12.9,22500,"",""
13,"G037.5536+00.2008 ", ,284.7914583333333,4.20436111111111,6.7,38000,"IRAS 18566+0408","IRAS 18566+0408"
14,"G042.0977+00.3521A", ,286.752125,8.312249999999999,10.9,31300,"IRAS 19045+0813","IRAS 19045+0813"
15,"G042.1099-00.4466 ",*,287.4732083333333,7.954027777777776,8.7,43400,"IRAS 19074+0752","IRAS 19074+0752"
16,"G045.4543+00.0600B", ,288.588625,11.154305555555554,7.3,34900,"IRAS 19120+1103","IRAS 19120+1103"
17,"G053.6185+00.0376 ", ,292.59599999999995,18.34072222222222,7.9,20000,"",""
18,"G060.8828-00.1295B",*,296.58391666666665,24.59147222222222,2.2,21700,"S87 IRS1","NAME SH 2-87 IRS 1"
19,"G064.8131+00.1743 ", ,298.52441666666664,28.12794444444444,8.2,184300,"IRAS 19520+2759","IRAS 19520+2759"
20,"G075.6014+01.6394 ", ,303.9506666666666,38.0253611111111,11.2,28600,"",""
21,"G078.7641+01.6862 ", ,306.21529166666664,40.65702777777777,10.5,42300,"",""
22,"G085.4102+00.0032A", ,313.5598333333333,44.90127777777777,5.5,20400,"",""
23,"G094.4637-00.8043 ", ,323.7879583333333,50.885999999999996,4.9,20800,"IRAS 21334+5039","IRAS 21334+5039"
24,"G096.5438+01.3592 ", ,323.9325833333333,53.88594444444443,7.0,22600,"IRAS 21340+5339","IRAS 21340+5339"
25,"G097.5268+03.1837C", ,323.04454166666665,55.89316666666666,6.9,21700,"S128 IRS 2","[MGS84] S128 IRS 2"
26,"G110.1082+00.0473B",*,346.29229166666664,60.24522222222221,4.3,28400,"S156A","SH 2-156 A"
27,"G111.2824-00.6639B", ,349.01604166666664,60.03244444444444,3.5,24700,"IRAS 23138+5945","IRAS 23138+5945"
28,"G133.6945+01.2166A", ,36.379124999999995,62.10583333333332,2.0,28500,"W3 IRS4 (part)","[WBN72] W3 IRS4"
29,"G135.2774+02.7981 ", ,40.86937499999999,62.95241666666666,6.0,28500,"IRAS 02395+6244","IRAS 02395+6244"
30,"G192.6005-00.0479 ", ,93.22504166666666,17.989749999999997,2.0,35600,"S255 IRS1","NAME SH 2-255 IRS 1"
31,"G269.8539-00.0630 ", ,137.78474999999997,-48.26563888888888,8.4,27600,"",""
32,"G281.0472-01.5432 ", ,149.81616666666665,-56.91091666666666,7.0,145100,"",""
33,"G282.0598-00.5721 ", ,152.36066666666665,-56.730416666666656,4.9,20000,"",""
34,"G289.9446-00.8909A", ,165.29445833333332,-60.95233333333333,8.3,26200,"",""
35,"G299.5265+00.1478 ", ,185.46099999999998,-62.52844444444444,7.5,34700,"",""
36,"G300.5047-00.1745A", ,187.515,-62.94677777777777,8.9,42700,"",""
37,"G303.9973+00.2800 ",*,195.17341666666664,-62.572444444444436,11.4,20400,"",""
38,"G304.6668-00.9654 ",*,196.78487499999997,-63.7841111111111,11.4,24800,"",""
39,"G305.3676+00.2095 ", ,198.15204166666663,-62.558972222222216,4.0,28100,"",""
40,"G308.9176+00.1231A", ,205.7570833333333,-62.14755555555555,5.3,186800,"OH 308.918+00.123","Caswell OH 308.918+00.123"
41,"G310.0135+00.3892 ", ,207.90774999999996,-61.65208333333332,3.2,54600,"IRAS 13481-6124","IRAS 13481-6124"
42,"G319.8366-00.1963 ", ,226.72704166666662,-58.54966666666666,11.7,38900,"",""
43,"G321.3824-00.2861 ", ,229.3342083333333,-57.83341666666666,9.4,24600,"",""
44,"G328.2523-00.5320A", ,239.49929166666664,-53.966805555555545,2.9,40500,"CH3OH 328.25-00.53","Caswell CH3OH 328.25-00.53"
45,"G329.0663-00.3081 ", ,240.29137499999996,-53.267305555555545,11.6,65600,"CH3OH 329.07-00.31","Caswell CH3OH 329.07-00.31"
46,"G331.3576+01.0626 ", ,241.60741666666664,-50.72277777777777,4.5,22200,"IRAS 16026-5035","IRAS 16026-5035"
