recno,Name,M,RAJ2000,DEJ2000,Type,fcc,vLSR,Near,Far,Dist,Rgc,Lbol,IRAS
1361,"G169.6459-00.0687 ", ,79.54499999999999,37.56616666666666,"HII/YSO",N,-32.2,22.1,22.1,2.0,10.4,1030,"05147+3730 "
1360,"G169.1895-00.9011 ", ,78.35841666666666,37.45255555555555,"HII/YSO",Y,-5.7,0.9,0.9,0.9,9.3,770,"05100+3723 "
1358,"G167.6904-00.6315 ", ,77.50912499999998,38.82166666666666,"YSO",N,-9.7,1.7,1.7,1.7,10.1,390,"05065+3845 "
1359,"G168.0627+00.8221 ", ,79.30704166666665,39.37205555555555,"YSO",Y,-25.0,7.8,7.8,2.0,10.4,1220,"05137+3919 "
1362,"G172.8742+02.2687 ", ,84.21862499999999,36.18288888888888,"YSO",Y,-17.5,10.8,10.8,2.0,10.4,310,"05335+3609 "
1357,"G166.8141-03.1986 ", ,74.23033333333332,37.954027777777775,"HII region",Y,-35.6,14.3,14.3,2.0,10.4,1240,"04535+3752 "
1355,"G160.1452+03.1559 ", ,75.41624999999999,47.12269444444444,"YSO",Y,-16.5,1.9,1.9,1.9,10.2,2070,"04579+4703 "
1356,"G162.9525+04.3346 ", ,79.19779166666666,45.56780555555555,"Evolved star",Y,,,,,,,"05131+4530 "
1347,"G150.6862-00.6887 ", ,61.20674999999999,51.44922222222222,"YSO",Y,-22.6,1.9,1.9,1.9,10.1,190,"04010+5118 "
1354,"G155.3319+02.5989 ", ,70.11333333333333,50.47474999999999,"HII region",Y,-35.6,4.5,4.5,4.5,12.6,22980,"04366+5022 "
1353,"G154.3472+02.6099 ", ,69.08745833333333,51.21527777777777,"HII region",Y,-36.2,4.4,4.4,4.4,12.5,27290,"04324+5106 "
1352,"G152.3371-00.2899 ", ,63.564874999999994,50.62519444444444,"HII/YSO",Y,-32.2,3.3,3.3,3.3,11.5,1250,"04104+5029 "
1351,"G151.6209-00.2680 ", ,62.765583333333325,51.131722222222216,"HII region",Y,-25.1,2.3,2.3,2.3,10.5,4420,"04072+5100 "
1349,"G151.6120-00.4575 ",M,62.54941666666666,50.99847222222221,"YSO",Y,-49.7,6.4,6.4,6.4,14.4,21590,"04064+5052 "
1350,"G151.6155-00.2215 ", ,62.81108333333332,51.16830555555555,"HII region",N,,,,,,,"           "
1348,"G151.6042-00.2163 ", ,62.80199999999999,51.18080555555555,"HII region",Y,,2.3,2.3,2.3,10.5,1280,"           "
